model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
majority,101,source_heldout,150920,149080,0.9384177047442354,0.5,142326,6754,0,0,0.9546954655218675,0.5,0.9546954655218675,1.0,0.9768227147004523,0.48841135735022617,0.0,1.0,0.0,0.0,0.5,0.9546954655218675,0.04530453447813255,0.04530453447813255
majority,101,target,150920,1215889,0.9384177047442354,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
stratified,101,source_heldout,150920,149080,0.9384177047442354,0.5,133581,6350,404,8745,0.8987456399248726,0.4991864791791587,0.9546204915279674,0.9385565532650394,0.9465203697339658,0.49866419668865175,-0.0014098650205466698,0.940183594906722,0.061443446734960584,0.059816405093278055,0.4991864791791587,0.954625098188568,0.04523594282569819,0.10125436007512745
stratified,101,target,150920,1215889,0.9384177047442354,0.5,692686,448250,29486,45467,0.5939456644479882,0.5000623246995405,0.6071208200985857,0.9384043687419816,0.7372572560426888,0.42197870374204804,0.00025312335390421096,0.9382797193429007,0.06159563125801833,0.06172028065709932,0.5000623246995405,0.6071188683708019,0.3929406354006656,0.40605433555201176
logreg,101,source_heldout,150920,149080,0.9384177047442354,0.5,125952,1814,4940,16374,0.8779983901261068,0.8081863393266434,0.9858021695912841,0.8849542599384511,0.9326599825244731,0.6423311313505934,0.3662063747971169,0.26858158128516435,0.11504574006154884,0.7314184187148357,0.8411695266358331,0.9856086474956434,0.4382991049123335,0.09262054539987807
logreg,101,target,150920,1215889,0.9384177047442354,0.5,143128,10129,467607,595025,0.5022950285757992,0.5863490470389191,0.9339084022263258,0.1939001805858677,0.32112720297057473,0.4641319695635648,0.2541283511595092,0.02120208650802954,0.8060998194141323,0.9787979134919704,0.5966832433030951,0.7268726401526824,0.4657442687219766,0.4291236921544342
tree,101,source_heldout,150920,149080,0.9384177047442354,0.5,121374,1201,5553,20952,0.8514019318486719,0.8374840587419513,0.990201917193555,0.8527886682686228,0.9163725316250222,0.625148591799462,0.3671479046764612,0.17782055078472017,0.14721133173137727,0.8221794492152799,0.8581824317868618,0.987698317243395,0.3731949858176612,0.1403472128618519
tree,101,target,150920,1215889,0.9384177047442354,0.5,598762,306789,170947,139391,0.6330421609209393,0.5844948955398375,0.6612128968992359,0.8111624554800969,0.728552099404759,0.5811934965411281,0.18930135053616154,0.642172664400422,0.18883754451990306,0.357827335599578,0.5558632064040537,0.6437118132991709,0.41774187398838686,0.36614399020311705
rf,101,source_heldout,150920,149080,0.9384177047442354,0.5,129185,1247,5507,13141,0.9034880601019587,0.8615191932108168,0.9904394627085378,0.9076697160041033,0.9472499431730692,0.6904189248185636,0.4545438622352622,0.18463132958246964,0.09233028399589674,0.8153686704175304,0.9541864263115873,0.9976440038409601,0.5371788525713688,0.07627344412885477
rf,101,target,150920,1215889,0.9384177047442354,0.5,583985,312370,165366,154168,0.61629885622783,0.568644360901668,0.6515108411287939,0.7911435705063855,0.7145697665597232,0.5647001880072438,0.1523363269750464,0.6538548487030493,0.20885642949361446,0.3461451512969506,0.5803917818236817,0.6605209788255871,0.49883778212818103,0.2605915578875025
xgboost,101,source_heldout,150920,149080,0.9384177047442354,0.5,124417,194,6560,17909,0.8785685537966192,0.9227227208314556,0.9984431550986671,0.8741691609403763,0.9321824999906345,0.6761927777152673,0.4747029558093019,0.028723719277465205,0.12583083905962367,0.9712762807225348,0.958468867081983,0.9979532407444678,0.6057486740393568,0.10505769401788712
xgboost,101,target,150920,1215889,0.9384177047442354,0.5,361690,147183,330553,376463,0.5693307530539383,0.5909544428232886,0.7107667335464841,0.48999326697852613,0.5800841361767918,0.5690481385571522,0.18009504625935108,0.30808438133194904,0.5100067330214738,0.691915618668051,0.55511911780899,0.6465624035393643,0.4290040419408571,0.31828656792640686
hgb,101,source_heldout,150920,149080,0.9384177047442354,0.5,124430,302,6452,17896,0.877931312047223,0.9147731285648498,0.997578808966424,0.8742605005410115,0.9318574991200413,0.6733752160251998,0.4667052310508685,0.04471424341131182,0.12573949945898852,0.9552857565886882,0.9613642191344648,0.9980953881074065,0.6139003246386598,0.10549830656021358
hgb,101,target,150920,1215889,0.9384177047442354,0.5,528794,297625,180111,209359,0.5830343065855518,0.5466919982999747,0.6398618618400593,0.71637451856187,0.6759599430387352,0.545671108342683,0.09774678542920015,0.6229905219619204,0.28362548143813004,0.3770094780380796,0.5764877676218036,0.6731872497620274,0.454732921320528,0.3567699480571476
mlp,101,source_heldout,150920,149080,0.9384177047442354,0.5,125257,990,5764,17069,0.8788636973437081,0.8667456499028862,0.9921582295024832,0.8800711043660329,0.9327594359820235,0.6611950084902175,0.42357039238132044,0.1465798045602606,0.1199288956339671,0.8534201954397395,0.9414638873853567,0.9967978727686665,0.5219696390129017,0.10803624987602234
mlp,101,target,150920,1215889,0.9384177047442354,0.5,583184,297664,180072,154969,0.6277349330407628,0.5834931363068709,0.6620710951265144,0.7900584296209593,0.7204245086939415,0.5817637992356671,0.18253598148812128,0.6230721570072174,0.20994157037904065,0.37692784299278265,0.5410540091195684,0.6534675357442129,0.43117382387448183,0.3642500340938568
majority,102,source_heldout,142824,157176,0.938784798073153,0.5,149939,7237,0,0,0.9539560747187866,0.5,0.9539560747187866,1.0,0.9764355371766277,0.48821776858831384,0.0,1.0,0.0,0.0,0.5,0.9539560747187866,0.04604392528121342,0.04604392528121342
majority,102,target,142824,1215889,0.938784798073153,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
stratified,102,source_heldout,142824,157176,0.938784798073153,0.5,140786,6754,483,9153,0.8987949814221,0.5028477685665037,0.9542225837061136,0.9389551751045425,0.9465273178947086,0.5018892738350447,0.004975858180081041,0.9332596379715352,0.061044824895457483,0.06674036202846484,0.5028477685665036,0.9542063147116492,0.0463162665177445,0.10120501857789993
stratified,102,target,142824,1215889,0.938784798073153,0.5,692974,448418,29318,45179,0.5940443576675174,0.5000815768787009,0.6071305914181981,0.9387945317569664,0.7373848458004464,0.4217823324130556,0.0003322595364846139,0.9386313779995646,0.06120546824303363,0.061368622000435386,0.5000815768787008,0.6071280539949819,0.3929498463339479,0.40595564233248266
logreg,102,source_heldout,142824,157176,0.938784798073153,0.5,133974,1415,5822,15965,0.8894233216267114,0.8490001796990736,0.9895486339362873,0.8935233661689087,0.9390876464980654,0.6701364362589555,0.42335220940384366,0.19552300677076137,0.10647663383109131,0.8044769932292386,0.8932104504682717,0.9933089452104479,0.5020011460908784,0.120245018763422
logreg,102,target,142824,1215889,0.938784798073153,0.5,126104,6687,471049,612049,0.491124601012099,0.5784199703983315,0.9496426715665971,0.1708372112556611,0.2895800418855862,0.4465831648645683,0.24558715671432654,0.013997270458998276,0.8291627887443389,0.9860027295410018,0.6384071691306688,0.7589684796454403,0.4811700316440626,0.4198883444904012
tree,102,source_heldout,142824,157176,0.938784798073153,0.5,108052,2424,4813,41887,0.7180803685040973,0.6928471537247864,0.9780585828596257,0.7206397268222411,0.8298446710058944,0.5041560711575072,0.17688353517852143,0.33494541937266825,0.27936027317775897,0.6650545806273318,0.6768557041947462,0.9728214260921713,0.07263171743587357,0.2696022974683891
tree,102,target,142824,1215889,0.938784798073153,0.5,538330,305483,172253,199823,0.5844143667719669,0.5449271562581783,0.6379731054155364,0.7292932495024744,0.6805835270795959,0.5429871832326241,0.09522854964530027,0.6394389369861179,0.2707067504975256,0.36056106301388213,0.5473649233130402,0.6361620499488255,0.44350294971944626,0.37514969272029586
rf,102,source_heldout,142824,157176,0.938784798073153,0.5,145580,2865,4372,4359,0.9540387845472591,0.787522952899653,0.9806999225302301,0.9709281774588333,0.9757895865730066,0.761692388476884,0.5261678714350252,0.39588227165952744,0.02907182254116674,0.6041177283404726,0.9456563581768797,0.9969301054194158,0.6400180373947837,0.043476434806314496
rf,102,target,142824,1215889,0.938784798073153,0.5,628200,320884,156852,109953,0.645660911481229,0.5896833346910526,0.661901370163231,0.8510430764353731,0.7446493883194832,0.582994086443041,0.21167014870910217,0.6716764070532679,0.14895692356462684,0.3283235929467321,0.5883367646136753,0.6545313614980602,0.5058028473037592,0.2540232349242146
xgboost,102,source_heldout,142824,157176,0.938784798073153,0.5,139279,2004,5233,10660,0.91942790247875,0.8259970495873241,0.9858157032339347,0.92890442113126,0.9565142743336699,0.7045001116588366,0.45324431008014315,0.27691032195661186,0.07109557886873995,0.7230896780433882,0.9662205861925465,0.9982719471134646,0.7016986919513158,0.054640285670757294
xgboost,102,target,142824,1215889,0.938784798073153,0.5,559598,293052,184684,178555,0.6121298901462222,0.5723437073868325,0.6563044625579078,0.7581057043729417,0.7035415447418694,0.5713777761463145,0.1543889814501209,0.6134182895992766,0.24189429562705836,0.3865817104007234,0.5709266094425268,0.6312699671009697,0.5147043419307438,0.2719469666481018
hgb,102,source_heldout,142824,157176,0.938784798073153,0.5,132376,451,6786,17563,0.8853896269150506,0.9102735291984518,0.9966046059912518,0.8828656987174784,0.9362936138008106,0.6829888255162477,0.4752874397015123,0.062318640320574825,0.11713430128252156,0.9376813596794252,0.965249015185387,0.9981442475867168,0.7127173488811464,0.07803978302730867
hgb,102,target,142824,1215889,0.938784798073153,0.5,533263,292670,185066,204890,0.5907850140925693,0.5549050670804816,0.6456492233631541,0.7224288189575874,0.6818844999571635,0.5542276092996312,0.11490247630503783,0.6126186847966241,0.27757118104241263,0.38738131520337593,0.5620260213899553,0.6316111906840419,0.5058828103652467,0.31244731640130446
mlp,102,source_heldout,142824,157176,0.938784798073153,0.5,136633,1203,6034,13306,0.9076894691301471,0.8725140720784096,0.9912722365709974,0.9112572446128092,0.9495821388237338,0.7018294860879402,0.4753349027521466,0.16622910045599004,0.08874275538719079,0.83377089954401,0.9339664741723446,0.9960493709057023,0.685662346452683,0.06827480345964432
mlp,102,target,142824,1215889,0.938784798073153,0.5,592673,314511,163225,145480,0.6216833937966377,0.5722885423779329,0.65331068449179,0.8029134881250906,0.7204274868917432,0.5677626886305708,0.16223595875262534,0.6583364033692248,0.19708651187490941,0.34166359663077517,0.5320641489846987,0.6252180224945523,0.4529293200990968,0.34980934858322144
majority,103,source_heldout,210621,89379,0.9442078425228254,0.5,85029,4350,0,0,0.9513308495284127,0.5,0.9513308495284127,1.0,0.9750584835558002,0.4875292417779001,0.0,1.0,0.0,0.0,0.5,0.9513308495284127,0.048669150471587284,0.048669150471587284
majority,103,target,210621,1215889,0.9442078425228254,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
